event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2014,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2013,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2012,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2011,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2010,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2011,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2010,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2009,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2010,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2009,Norrk?ping,both,2023-05-04 00:07:33,P7,2023-05-04 00:07:34,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2008,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2009,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2008,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2007,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2008,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2007,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2006,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2007,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2006,Norrk?ping,both,2023-05-04 00:07:34,P7,2023-05-04 00:07:35,1.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2005,Norrk?ping,both,2023-05-04 00:07:35,P7,2023-05-04 00:07:45,10.0
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2147020677,,,,2006,Norrk?ping,both,2023-05-04 00:07:35,P7,2023-05-04 00:07:45,10.0
