event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2017,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2015,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2016,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2014,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2013,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2014,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2012,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2013,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2012,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2011,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2012,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2010,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2009,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2008,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2009,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2008,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2007,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2008,Norrk?ping,female,2023-05-04 00:20:51,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146406162,,,,2007,Norrk?ping,female,2023-05-04 00:20:51,P3
